id,topic,condition,rep,n_words,lgn,lgn_top5,j_novelty,j_feasibility,j_effectiveness,j_overall,nov_judge0,nov_judge1
Bias__deduction__0,Bias,deduction,0,250,0.1541982889175415,0.16467809677124023,7.0,7.5,6.0,6.0,6.0,8.0
Bias__deduction__1,Bias,deduction,1,245,0.13895714282989502,0.1642664074897766,6.0,7.0,5.5,5.5,4.0,8.0
Bias__deduction__2,Bias,deduction,2,233,0.24306094646453857,0.2536534070968628,6.0,7.5,5.0,5.5,4.0,8.0
Bias__deduction__3,Bias,deduction,3,211,0.16620445251464844,0.18939554691314697,7.0,7.5,6.0,6.0,6.0,8.0
Bias__deduction__4,Bias,deduction,4,226,0.15822643041610718,0.16955691576004028,6.0,7.0,6.0,5.5,4.0,8.0
Bias__induction__0,Bias,induction,0,197,0.1779038906097412,0.18457335233688354,6.0,7.5,5.0,5.5,4.0,8.0
Bias__induction__1,Bias,induction,1,233,0.1582406759262085,0.18568915128707886,5.5,7.5,5.0,5.5,3.0,8.0
Bias__induction__2,Bias,induction,2,221,0.16545605659484863,0.18010175228118896,6.0,7.0,5.5,5.5,4.0,8.0
Bias__induction__3,Bias,induction,3,235,0.14359277486801147,0.169974684715271,5.0,8.5,5.0,5.5,3.0,7.0
Bias__induction__4,Bias,induction,4,227,0.16098499298095703,0.18412363529205322,6.0,8.5,5.0,5.5,4.0,8.0
Bias__literature_comparison__0,Bias,literature_comparison,0,227,0.2037143111228943,0.21251100301742554,6.0,5.0,5.0,5.0,3.0,9.0
Bias__literature_comparison__1,Bias,literature_comparison,1,221,0.14590895175933838,0.18053847551345825,6.0,7.5,5.0,5.5,4.0,8.0
Bias__literature_comparison__2,Bias,literature_comparison,2,256,0.13982874155044556,0.1632269024848938,6.0,8.0,5.0,5.5,4.0,8.0
Bias__literature_comparison__3,Bias,literature_comparison,3,257,0.14844834804534912,0.17904537916183472,6.0,7.5,5.0,5.5,4.0,8.0
Bias__literature_comparison__4,Bias,literature_comparison,4,254,0.14118236303329468,0.18053704500198364,6.0,4.5,5.0,5.0,4.0,8.0
Bias__outcome_imagination__0,Bias,outcome_imagination,0,234,0.1506606936454773,0.1693146824836731,6.0,7.0,4.5,5.5,4.0,8.0
Bias__outcome_imagination__1,Bias,outcome_imagination,1,217,0.1652231216430664,0.17661553621292114,6.0,5.5,5.0,5.5,4.0,8.0
Bias__outcome_imagination__2,Bias,outcome_imagination,2,225,0.14860975742340088,0.16462641954421997,6.0,7.5,5.0,5.5,4.0,8.0
Bias__outcome_imagination__3,Bias,outcome_imagination,3,226,0.1358162760734558,0.1491771936416626,6.0,7.5,4.5,5.5,4.0,8.0
Bias__outcome_imagination__4,Bias,outcome_imagination,4,232,0.15922081470489502,0.17509162425994873,6.0,7.5,5.0,5.5,4.0,8.0
Bias__proposal_writing__0,Bias,proposal_writing,0,246,0.17157447338104248,0.19541943073272705,6.0,7.0,4.0,5.0,6.0,
Bias__proposal_writing__1,Bias,proposal_writing,1,182,0.1654728651046753,0.1817581057548523,6.0,8.5,5.0,5.5,4.0,8.0
Bias__proposal_writing__2,Bias,proposal_writing,2,198,0.16454577445983887,0.17548596858978271,5.5,8.0,5.0,5.0,4.0,7.0
Bias__proposal_writing__3,Bias,proposal_writing,3,221,0.1517418622970581,0.17773371934890747,6.0,7.0,5.5,5.5,4.0,8.0
Bias__proposal_writing__4,Bias,proposal_writing,4,216,0.16076087951660156,0.16649562120437622,6.0,7.0,5.5,5.5,4.0,8.0
Bias__small_experiment__0,Bias,small_experiment,0,221,0.17414391040802002,0.18210208415985107,6.0,7.0,4.5,5.5,4.0,8.0
Bias__small_experiment__1,Bias,small_experiment,1,183,0.14655452966690063,0.1708531379699707,4.0,8.0,3.0,4.0,4.0,
Bias__small_experiment__2,Bias,small_experiment,2,192,0.2035123109817505,0.2139444351196289,3.0,8.0,4.0,4.0,3.0,
Bias__small_experiment__3,Bias,small_experiment,3,210,0.15379971265792847,0.17322570085525513,5.0,8.0,5.0,5.0,3.0,7.0
Bias__small_experiment__4,Bias,small_experiment,4,188,0.14282184839248657,0.16535502672195435,5.5,8.0,4.5,5.0,4.0,7.0
Bias__unguided__0,Bias,unguided,0,213,0.1782880425453186,0.20833241939544678,6.0,5.0,5.0,5.0,4.0,8.0
